,ACCIDENT_NO,ACCIDENTDATE,CYCLISTS,CYCLISTS_COUNT_LS,ACCIDENTTIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA Description,LIGHT_CONDITION,LIGHT_CONDITION_DEC,NO_OF_VEHICLES,NO_PERSONS,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_KILLED,NO_PERSONS_NOT_INJ,POLICE_ATTEND,ROAD_GEOMETRY_DESC,SEVERITY,SEVERITY_DESC,SPEED_ZONE,VEHICLE_ID,INITIAL_DIRECTION,Vehicle Type Desc,FINAL_DIRECTION,DRIVER_INTENT,VEHICLE_MOVEMENT,TRAILER_TYPE,INITIAL_IMPACT,LAMPS,LEVEL_OF_DAMAGE,TRAFFIC_CONTROL_DESC,ROAD_ROUTE_1,ROAD_NAME,ROAD_TYPE,ROAD_NAME_INT,ROAD_TYPE_INT,DISTANCE_LOCATION,DIRECTION_LOCATION,NODE_ID,NODE_TYPE,LGA_NAME,Lga Name All,Lat,Long,Postcode No
2354,T20060005331,16/02/2006,59850,4921,06.45.00,1,Collision with vehicle,5,Thursday,116,LEFT NEAR (INTERSECTIONS ONLY)               ,2,Dusk/Dawn,2,2,0,1,0,1,1,T intersection,3,Other Injury,60,B,S ,Bicycle,S ,1,1,H,9,9,9,No control,9999,BARKLY,STREET,RATHDOWNE,STREET,0,NE,36377,I,MELBOURNE,MELBOURNE,-37.80076,144.96994,3053
1054,T20060002640,17/02/2006,59850,4921,10.10.00,1,Collision with vehicle,6,Friday,140,U TURN                           ,1,Day,2,2,0,1,0,1,1,Not at intersection,3,Other Injury,60,B,N ,Bicycle,N ,1,1,H,9,9,9,Stop-go lights,9999,QUEENS BRIDGE,STREET,SOUTHBANK,PROMENADE BIKE,68,S,205402,N,MELBOURNE,MELBOURNE,-37.82159,144.96139,3006
2611,T20060005786,17/02/2006,59850,4921,18.55.00,1,Collision with vehicle,6,Friday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,1,Day,2,2,0,1,0,1,2,Not at intersection,3,Other Injury,50,B,N ,Bicycle,N ,99,99,H,9,9,9,Other,9999,ELIZABETH,STREET,LONSDALE,STREET,30,N,134602,N,MELBOURNE,MELBOURNE,-37.81203,144.96214,3000
1164,T20060002827,18/02/2006,59850,4921,16.40.00,1,Collision with vehicle,7,Saturday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,1,Day,2,2,0,1,0,1,1,Cross intersection,3,Other Injury,50,B,SW,Bicycle,SW,99,99,H,9,9,9,No control,9999,OXFORD,STREET,WRECKYN,STREET,0,NW,36190,I,MELBOURNE,MELBOURNE,-37.80034,144.95416,3051
1294,T20060003093,20/02/2006,59850,4921,18.05.00,1,Collision with vehicle,2,Monday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,1,Day,2,2,0,1,0,1,1,Not at intersection,3,Other Injury,50,B,E ,Bicycle,E ,1,1,H,9,9,9,No control,9999,COLLINS,STREET,ELIZABETH,STREET,51,W,205409,N,MELBOURNE,MELBOURNE,-37.81637,144.96352,3000
2054,T20060004578,21/02/2006,59850,4921,18.00.00,1,Collision with vehicle,3,Tuesday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,1,Day,2,3,0,1,0,2,2,Not at intersection,3,Other Injury,60,B,E ,Bicycle,E ,1,1,H,9,9,9,No control,9999,LONSDALE,STREET,CALEDONIAN,LANE,16,W,205466,N,MELBOURNE,MELBOURNE,-37.81174,144.96413,3000
1584,T20060003551,22/02/2006,59850,4921,21.20.00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH                        ,3,Dark Street lights on,2,2,0,1,0,1,2,Not at intersection,3,Other Injury,60,B,S ,Bicycle,S ,1,1,H,9,9,9,No control,9999,SWANSTON,STREET,CARDIGAN,TERRACE,40,S,205439,N,MELBOURNE,MELBOURNE,-37.80621,144.96297,3053
1540,T20060003464,23/02/2006,59850,4921,07.30.00,1,Collision with vehicle,5,Thursday,137,LEFT TURN SIDESWIPE                     ,2,Dusk/Dawn,2,2,0,1,0,1,2,Not at intersection,3,Other Injury,60,B,E ,Bicycle,E ,99,99,H,9,9,9,No control,9999,ARDEN,STREET,LANGFORD,STREET,68,E,205436,N,MELBOURNE,MELBOURNE,-37.79968,144.93823,3051
9251,T20060020660,23/02/2006,59850,4921,08.00.00,1,Collision with vehicle,5,Thursday,135,LANE CHANGE LEFT (NOT OVERTAKING)              ,1,Day,2,2,0,1,0,1,2,Not at intersection,3,Other Injury,50,B,E ,Bicycle,E ,1,1,H,9,9,9,Stop-go lights,9999,FLINDERS,STREET,WELLINGTON,PARADE,21,W,209236,N,MELBOURNE,MELBOURNE,-37.81534,144.97464,3000
9252,T20060020660,23/02/2006,59850,4921,08.00.00,1,Collision with vehicle,5,Thursday,135,LANE CHANGE LEFT (NOT OVERTAKING)              ,1,Day,2,2,0,1,0,1,2,Not at intersection,3,Other Injury,50,B,E ,Bicycle,E ,1,1,H,9,9,9,Stop-go lights,9999,FLINDERS,STREET,WELLINGTON,PARADE,21,W,209236,N,MELBOURNE,MELBOURNE,-37.81534,144.97464,3000
1682,T20060003713,24/02/2006,59850,4921,09.00.00,2,Struck Pedestrian,6,Friday,109,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,1,Day,1,2,1,0,0,1,1,Not at intersection,2,Hospitilisation,60,A,E ,Bicycle,NK,99,99,H,9,9,9,No control,9999,VERE,STREET,DOWN,STREET,18,E,205447,N,YARRA,YARRA,-37.80206,144.98802,3066
8982,T20060020017,24/02/2006,59850,4921,08.20.00,1,Collision with vehicle,6,Friday,137,LEFT TURN SIDESWIPE                     ,1,Day,2,2,0,1,0,1,2,Cross intersection,3,Other Injury,50,B,S ,Bicycle,S ,1,1,H,F,9,2,Stop-go lights,9999,GRATTAN,STREET,SWANSTON,STREET,0,E,90,I,MELBOURNE,MELBOURNE,-37.80043,144.96398,3053
1949,T20060004348,25/02/2006,59850,4921,13.10.00,1,Collision with vehicle,7,Saturday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES)        ,1,Day,2,3,0,1,0,2,2,Not at intersection,3,Other Injury,60,B,E ,Bicycle,E ,1,1,H,9,9,9,Stop-go lights,9999,FLINDERS,STREET,ELIZABETH,STREET,14,E,211827,N,MELBOURNE,MELBOURNE,-37.81813,144.96512,3000
1950,T20060004348,25/02/2006,59850,4921,13.10.00,1,Collision with vehicle,7,Saturday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES)        ,1,Day,2,3,0,1,0,2,2,Not at intersection,3,Other Injury,60,B,E ,Bicycle,E ,1,1,H,9,9,9,Stop-go lights,9999,FLINDERS,STREET,ELIZABETH,STREET,14,E,211827,N,MELBOURNE,MELBOURNE,-37.81813,144.96512,3000
6492,T20060012987,28/02/2006,59850,4921,09.50.00,1,Collision with vehicle,3,Tuesday,143,ENTERING PARKING                      ,1,Day,2,3,0,1,0,2,1,Not at intersection,3,Other Injury,60,B,S ,Bicycle,S ,10,10,H,6,9,9,No control,5046,ELIZABETH,STREET,VICTORIA,STREET,91,N,202933,N,MELBOURNE,MELBOURNE,-37.8055,144.95914,3000
2582,T20060005739,1/03/2006,59850,4921,18.00.00,1,Collision with vehicle,4,Wednesday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,2,Dusk/Dawn,2,3,0,1,0,2,2,Not at intersection,3,Other Injury,60,B,N ,Bicycle,N ,1,1,H,9,9,9,Stop-go lights,9999,HARBOUR,ESPLANADE,RON CASEY,LANE,3,S,203341,N,MELBOURNE,MELBOURNE,-37.81544,144.9452,3008
2207,T20060004967,3/03/2006,59850,4921,07.25.00,4,Collision with a fixed object,6,Friday,179,OTHER ACCIDENTS-OFF STRAIGHT NOT INCLUDED IN DCAs 170-175  ,1,Day,1,1,0,1,0,0,2,Not at intersection,3,Other Injury,999,A,W ,Bicycle,W ,1,1,H,9,9,9,Out of order,9999,SOUTHBANK,BOULEVARD,FRESHWATER,PLACE,45,NW,205492,N,MELBOURNE,MELBOURNE,-37.82137,144.96266,3006
2511,T20060005569,3/03/2006,59850,4921,17.40.00,1,Collision with vehicle,6,Friday,137,LEFT TURN SIDESWIPE                     ,1,Day,2,2,1,0,0,1,2,Multiple intersection,2,Hospitilisation,50,B,N ,Bicycle,N ,99,99,H,9,9,9,No control,9999,EXHIBITION,STREET,LA TROBE,STREET,0,N,29396,I,MELBOURNE,MELBOURNE,-37.80816,144.96874,3000
2512,T20060005569,3/03/2006,59850,4921,17.40.00,1,Collision with vehicle,6,Friday,137,LEFT TURN SIDESWIPE                     ,1,Day,2,2,1,0,0,1,2,Multiple intersection,2,Hospitilisation,50,B,N ,Bicycle,N ,99,99,H,9,9,9,No control,9999,EXHIBITION,STREET,LA TROBE,STREET,0,N,29396,I,MELBOURNE,MELBOURNE,-37.80816,144.96874,3000
2714,T20060005954,9/03/2006,59850,4921,10.20.00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH                        ,1,Day,2,2,1,0,0,1,1,T intersection,2,Hospitilisation,50,B,SW,Bicycle,SW,1,1,H,9,9,9,No control,9999,MACARTHUR,STREET,ST ANDREWS,PLACE,0,SW,36997,I,MELBOURNE,MELBOURNE,-37.81179,144.97483,3002
10212,T20060022432,9/03/2006,59850,4921,15.30.00,1,Collision with vehicle,5,Thursday,159,OTHER OVERTAKING MANOEUVRES NOT INCLUDED IN DCAs 150-154  ,1,Day,2,2,1,0,0,1,2,Not at intersection,2,Hospitilisation,50,B,E ,Bicycle,E ,1,1,H,9,9,9,No control,5898,TOORAK,ROAD,DAVIS,AVENUE,17,E,203723,N,STONNINGTON,STONNINGTON,-37.8389,144.9909,3141
6684,T20060013348,10/03/2006,59850,4921,17.37.00,1,Collision with vehicle,6,Friday,121,RIGHT THROUGH                        ,1,Day,2,2,0,1,0,1,1,T intersection,3,Other Injury,60,B,N ,Bicycle,N ,1,1,H,9,9,9,No control,5499,CHURCH,STREET,PEARSON,STREET,0,N,37179,I,YARRA,YARRA,-37.82716,144.99767,3121
3717,T20060007735,18/03/2006,59850,4921,17.00.00,1,Collision with vehicle,7,Saturday,130,REAR END(VEHICLES IN SAME LANE)               ,2,Dusk/Dawn,2,2,0,1,0,1,1,Not at intersection,3,Other Injury,40,B,W ,Bicycle,W ,1,1,H,9,9,9,No control,5287,SWAN,STREET,CHURCH,STREET,0,W,35383,I,YARRA,YARRA,-37.82569,144.99793,3121
5202,T20060010645,18/03/2006,59850,4921,13.40.00,8,No collision and no object struck,7,Saturday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT)         ,1,Day,1,1,1,0,0,0,1,Not at intersection,2,Hospitilisation,999,A,S ,Bicycle,S ,1,1,H,9,9,9,No control,9999,SWANSTON,STREET,FRANKLIN,STREET,40,S,205799,N,MELBOURNE,MELBOURNE,-37.80781,144.963,3000
3763,T20060007806,19/03/2006,59850,4921,09.00.00,1,Collision with vehicle,1,Sunday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES)        ,1,Day,2,2,1,0,0,1,1,Not at intersection,2,Hospitilisation,50,B,W ,Bicycle,W ,1,1,H,9,9,9,No control,9999,DOMAIN,ROAD,MILLSWYN,STREET,69,E,209521,N,MELBOURNE,MELBOURNE,-37.83401,144.98149,3141
4056,T20060008323,19/03/2006,59850,4921,15.45.00,1,Collision with vehicle,1,Sunday,163,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,1,Day,2,2,0,1,0,1,2,Cross intersection,3,Other Injury,999,B,N ,Bicycle,N ,1,1,H,9,9,9,Stop-go lights,9999,ELGIN,STREET,RATHDOWNE,STREET,0,W,36370,I,MELBOURNE,MELBOURNE,-37.79748,144.97049,3053
3917,T20060008093,20/03/2006,59850,4921,14.10.00,1,Collision with vehicle,2,Monday,119,OTHER ADJACENT (INTERSECTIONS ONLY)             ,1,Day,2,4,0,1,0,3,1,Cross intersection,3,Other Injury,60,B,W ,Bicycle,W ,1,1,H,9,9,9,No control,9999,ARDEN,STREET,LLOYD,STREET,0,W,36061,I,MELBOURNE,MELBOURNE,-37.79928,144.93512,3031
4155,T20060008561,20/03/2006,59850,4921,09.30.00,1,Collision with vehicle,2,Monday,135,LANE CHANGE LEFT (NOT OVERTAKING)              ,1,Day,2,2,1,0,0,1,2,Not at intersection,2,Hospitilisation,60,B,SW,Bicycle,SW,1,1,H,9,9,9,Stop-go lights,9999,MACARTHUR,STREET,ST ANDREWS,PLACE,37,SW,203547,N,MELBOURNE,MELBOURNE,-37.81209,144.97466,3002
4461,T20060009229,24/03/2006,59850,4921,16.50.00,1,Collision with vehicle,6,Friday,136,RIGHT TURN SIDESWIPE                    ,1,Day,3,3,1,0,0,2,1,T intersection,2,Hospitilisation,50,C,N ,Bicycle,N ,1,1,H,9,9,9,No control,9999,FRANKLIN,STREET,PEEL,STREET,0,E,36832,I,MELBOURNE,MELBOURNE,-37.80905,144.95547,3003
4467,T20060009239,24/03/2006,59850,4921,21.45.00,1,Collision with vehicle,6,Friday,137,LEFT TURN SIDESWIPE                     ,2,Dusk/Dawn,2,2,0,1,0,1,2,Multiple intersection,3,Other Injury,60,B,E ,Bicycle,E ,1,1,H,9,9,9,Stop-go lights,9999,ELGIN,STREET,LYGON,STREET,0,W,109,I,MELBOURNE,MELBOURNE,-37.79716,144.96756,3053
5178,T20060010601,24/03/2006,59850,4921,22.00.00,1,Collision with vehicle,6,Friday,137,LEFT TURN SIDESWIPE                     ,3,Dark Street lights on,2,2,0,1,0,1,2,Cross intersection,3,Other Injury,50,B,SW,Bicycle,SE,2,3,H,9,9,9,Stop-go lights,9999,LA TROBE,STREET,QUEEN,STREET,0,W,65772,I,MELBOURNE,MELBOURNE,-37.81104,144.95889,3000
5179,T20060010601,24/03/2006,59850,4921,22.00.00,1,Collision with vehicle,6,Friday,137,LEFT TURN SIDESWIPE                     ,3,Dark Street lights on,2,2,0,1,0,1,2,Cross intersection,3,Other Injury,50,B,SW,Bicycle,SE,2,3,H,9,9,9,Stop-go lights,9999,LA TROBE,STREET,QUEEN,STREET,0,W,65772,I,MELBOURNE,MELBOURNE,-37.81104,144.95889,3000
4716,T20060009732,28/03/2006,59850,4921,06.15.00,1,Collision with vehicle,3,Tuesday,116,LEFT NEAR (INTERSECTIONS ONLY)               ,2,Dusk/Dawn,2,2,1,0,0,1,1,Cross intersection,2,Hospitilisation,60,B,E ,Bicycle,E ,1,1,H,9,9,9,No control,9999,ARDEN,STREET,DRYBURGH,STREET,14,E,203613,N,MELBOURNE,MELBOURNE,-37.80033,144.94413,3051
4997,T20060010282,28/03/2006,59850,4921,18.00.00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH                        ,2,Dusk/Dawn,2,2,0,1,0,1,2,T intersection,3,Other Injury,60,B,W ,Bicycle,W ,1,1,H,9,9,9,No control,9999,ALBERT,STREET,EADES,STREET,0,E,37014,I,MELBOURNE,MELBOURNE,-37.81012,144.98094,3002
6387,T20060012841,28/03/2006,59850,4921,09.00.00,2,Struck Pedestrian,3,Tuesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1,Day,1,2,1,1,0,0,2,Not at intersection,2,Hospitilisation,999,A,N ,Bicycle,N ,99,99,H,9,9,9,No control,9999,SWANSTON,STREET,COLLINS,STREET,43,N,203732,N,MELBOURNE,MELBOURNE,-37.81513,144.96637,3000
31852,T20070016655,29/03/2006,59850,4921,17.30.00,1,Collision with vehicle,4,Wednesday,137,LEFT TURN SIDESWIPE                     ,1,Day,2,2,0,1,0,1,2,Cross intersection,3,Other Injury,50,B,N ,Bicycle,N ,1,1,H,9,2,6,No control,5853,JOHNSTON,STREET,GORE,STREET,0,W,29403,I,YARRA,YARRA,-37.79883,144.98308,3065
5189,T20060010619,30/03/2006,59850,4921,20.15.00,1,Collision with vehicle,5,Thursday,116,LEFT NEAR (INTERSECTIONS ONLY)               ,3,Dark Street lights on,2,3,0,1,0,2,1,Cross intersection,3,Other Injury,60,B,S ,Bicycle,S ,1,1,H,9,9,9,No control,9999,STEAD,STREET,ALBERT,ROAD,19,NW,11590,I,PORT PHILLIP,PORT PHILLIP,-37.8364,144.96942,3205
